"package",'version",'option",'platform",'dependency",'package_provider",'compiled_with",'composite",'section",'spack_matches",'spack_match_100"
"jags","{'4.2.0', '3.4.0'}",NONE,NONE,"{'openblas', 'atlas'}",NONE,"{'gnu.4.9.2'}","{'gnu.4.9.2-atlas', 'gnu.4.9.2-openblas'}","applications","('jags', 100), ('r-rjags', 90), ('r-runjags', 90), ('args', 75)",jags
"jq","{'1.6', '1.5'}","{'bindist'}",NONE,NONE,NONE,"{'gnu-4.9.2'}","{'1.6-bindist'}","applications","('jq', 100), ('r-jquerylib', 90), ('neo4j', 60), ('proj', 60)",jq
"kallisto","{'v0.42.5', 'v0.46.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('kallisto', 100), ('lis', 90), ('istio', 80), ('stow', 77)",kallisto
"keras","{'2.2.4'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('er', 90), ('py-keras', 90), ('py-keras-applications', 90), ('py-keras-preprocessing', 90)",NONE
"kmc","{'2.1.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('c', 90), ('mc', 90), ('mcl', 67), ('mpc', 67)",NONE
"knitro","{'12.4.0', '12.0.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('r', 90), ('r-knitr', 77), ('kineto', 67), ('libmonitor', 66)",NONE
"lammps","{'13Apr17', '8Dec15', '10Feb15', '3Mar20', '7Aug19', '16Mar18'}","{'basic', 'plumed', 'colvars'}","{'gpu'}",NONE,NONE,"{'intel-2018', 'intel-2017', 'intel-2015-update2', 'userintel'}","{'plumed-colvars'}","applications","('lammps', 100), ('mumps', 73), ('psm', 72), ('ampl', 68)",lammps
"lynx","{'2.8.9'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('lynx', 100), ('r-polynom', 68), ('rkt-dynext-lib', 68), ('ntpoly', 60)",lynx
"mathematica","{'10.1.0', '10.2.0', '13.1.0', '11.3.0', '11.0.1', '11.2.0', '10.4.0', '12.2.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mathematica', 100), ('athena', 75), ('matio', 72), ('atmi', 68)",mathematica
"matlab","{'9.4', '8.6', 'r2021a', '9.10', 'r2017a', '9.7', 'r2015b', 'r2018b', '9.5', '8.5', 'r2018a', 'r2019b', '9.1', 'r2015a', 'r2016b', '9.2'}","{'full'}",NONE,NONE,NONE,NONE,NONE,"applications","('matlab', 100), ('r-matlab', 95), ('bigdft-atlab', 75), ('atlas', 73)",matlab
"mcl","{'14-137'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mcl', 100), ('c', 90), ('mc', 90), ('orthomcl', 90)",mcl
"meep","{'1.11.0', '1.3'}",NONE,NONE,"{'ompi'}",NONE,"{'gnu-4.9.2'}","{'1.3-ompi', '1.11.0-ompi'}","applications","('meep', 100), ('py-python-meep', 90), ('meme', 75), ('chameleon', 68)",meep
"meme","{'4.10.1_4'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('meme', 100), ('nvshmem', 77), ('py-cymem', 77), ('meep', 75)",meme
"mgltools","{'1.5.6'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mg', 90), ('py-onnxmltools', 84), ('bamtools', 75), ('igvtools', 75)",NONE
"mirdeep","{'2.0.0.7'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('mirdeep2', 93), ('r', 90), ('irep', 73), ('meep', 73)",NONE
"molden","{'5.2.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('molden', 100), ('modern-wheel', 75), ('turbomole', 72), ('guacamole-client', 68)",molden
"molpro","{'2012.1.25', '2015.1.5', '2015.1.3', '2020.1'}","{'openmp'}",NONE,NONE,NONE,"{'intel-2015-update2', 'gnu-4.9.2'}",NONE,"applications","('r', 90), ('proj', 77), ('jmol', 68), ('solr', 68)",NONE
"mosek","{'9.1.12'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('elk', 72), ('perl-moose', 72), ('py-mouseinfo', 72), ('py-sacremoses', 72)",NONE
"mothur","{'1.41.3'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'1.41.3-bindist'}","applications","('mothur', 100), ('r', 90), ('mosh', 68), ('r-kernsmooth', 66)",mothur
"mpb","{'1.5', '1.9.0'}",NONE,NONE,"{'hdf5', 'ompi'}",NONE,"{'gnu-4.9.2'}","{'1.5-ompi', '1.9.0-hdf5-ompi'}","applications","('advancecomp', 72), ('apcomp', 72), ('assimp', 72), ('bgpdump', 72)",NONE
"mrbayes","{'3.2.5'}","{'mpi', 'serial'}",NONE,NONE,NONE,"{'intel-2015-update2'}",NONE,"applications","('mrbayes', 100), ('r', 90), ('r-bayesm', 80), ('revbayes', 80)",mrbayes
"mrtrix","{'0.3.12', '3.0rc3', '0.3.16'}","{'nogui'}",NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('mrtrix3', 92), ('r', 90), ('perl-math-matrixreal', 75), ('r-delayedmatrixstats', 75)",NONE
"mstor","{'2013'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('r', 90), ('storm', 80), ('jstorm', 73), ('muster', 73)",NONE
"mumax","{'3.10', '3.9.3'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'3.10-bindist'}","applications","('mumax', 100), ('axl', 72), ('madx', 67), ('memaxes', 67)",mumax
"mummer","{'3.23'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('mummer', 100), ('mummer4', 92), ('er', 90), ('r', 90)",mummer
"muscle","{'3.8.31'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('muscle', 100), ('c', 90), ('muse', 80), ('musl', 80)",muscle
"mutect","{'1.1.7'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('r-permute', 72), ('muse', 68), ('must', 68)",NONE
"namd","{'2.14', '2.13', '2.11', '2.10', '2.12'}","{'ofi', 'multicore', 'smp', 'plumed'}","{'gpu'}",NONE,NONE,"{'intel-2018-update3', 'intel-2019', 'intel-2015-update2', 'intel-2017-update1'}","{'multicore-gpu', 'ofi-smp-gpu', 'ofi-smp'}","applications","('namd', 100), ('nasm', 75), ('amd-aocl', 68), ('amdblis', 68)",namd
"nco","{'4.5.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('nco', 100), ('c', 90), ('libqrencode', 90), ('motioncor2', 90)",nco
"nektar++","{'4.3.5'}",NONE,NONE,"{'ompi', 'impi'}",NONE,"{'gnu-4.9.2', 'intel-2017-update1'}","{'4.3.5-ompi', '4.3.5-impi'}","applications","('nektar', 100), ('r', 90), ('tar', 90), ('nekrs', 73)",nektar
"ngsutils","{'0.5.9'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('nfs-utils', 82), ('binutils', 75), ('usbutils', 75), ('lsf', 72)",NONE
"nighres","{'1.1.0b'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('gh', 90), ('r', 90), ('grep', 68), ('bigreqsproto', 64)",NONE
"nonmem","{'7.3.0'}",NONE,NONE,NONE,NONE,"{'intel-2015-update2', 'gnu-4.9.2'}",NONE,"applications","('meme', 77), ('mfem', 77), ('py-python-memcached', 75), ('cnmem', 73)",NONE
"novocraft","{'3.04.06'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('raft', 90), ('fmt', 72), ('ftk', 72), ('fxt', 72)",NONE
"nwchem","{'6.8-47-gdf6c956', '6.5-r26243', '6.6-r27746'}",NONE,NONE,"{'atlas'}",NONE,"{'intel-2017', 'intel-2015-update2'}",NONE,"applications","('nwchem', 100), ('c', 90), ('py-fastjsonschema', 75), ('py-jsonschema', 75)",nwchem
"oasislmf","{'3.9.5', 'f92a41f', '3.0.3', '1.2.4', '3.4.1', '1.26.3'}",NONE,NONE,"{'ktools'}",NONE,"{'gnu-4.9.2'}",NONE,"applications","('isl', 90), ('sl', 90), ('srilm', 72), ('asio', 68)",NONE
"octave","{'4.4.1'}",NONE,NONE,NONE,"{'recommended'}",NONE,NONE,"bundles","('octave', 100), ('c', 90), ('octa', 90), ('octave-arduino', 90)",octave
"octopus","{'6.0', '4.1.2', '5.0.1'}",NONE,NONE,"{'ompi', 'impi'}",NONE,"{'intel-2015-update2', 'gnu-4.9.2'}","{'4.1.2-impi', '5.0.1-ompi', '6.0-ompi'}","applications","('octopus', 100), ('c', 90), ('opus', 90), ('atop', 68)",octopus
"openbabel","{'2.4.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('openbabel', 100), ('openpa', 75), ('py-nibabel', 74), ('bazel', 72)",openbabel
"opencv","{'2.4.13', '3.4.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('opencv', 100), ('c', 90), ('openmc', 83), ('openvdb', 77)",opencv
"openfoam","{'2.4.0', '7.20200120', '2.3.1'}",NONE,NONE,NONE,NONE,"{'gnu-7.3.0', 'intel-2015-update2', 'intel-2017-update1'}",NONE,"applications","('openfoam', 100), ('openfoam-org', 90), ('openfast', 75), ('amg', 72)",openfoam
"openfoamplus","{'v2112', 'v1906', 'v1706'}",NONE,NONE,NONE,NONE,"{'gnu-7.3.0', 'gnu-4.9.2', 'gnu-7.3.0-64'}",NONE,"applications","('amp', 90), ('ampl', 90), ('mpl', 90), ('openfoam', 90)",NONE
"openmm","{'7.3.1'}",NONE,NONE,NONE,NONE,"{'cuda-10', 'gnu-4.9.2'}",NONE,"applications","('openmm', 100), ('openmc', 83), ('openmx', 83), ('openmpi', 77)",openmm
"openmx","{'3.8.3'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('openmx', 100), ('opendx', 83), ('openmc', 83), ('openmm', 83)",openmx
"optimet","{'1.0.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('time', 90), ('py-nanotime', 75), ('icet', 68), ('pism', 68)",NONE
"orca","{'4.2.1'}","{'bindist'}",NONE,NONE,NONE,"{'gnu-4.9.2'}","{'4.2.1-bindist'}","applications","('orca', 100), ('c', 90), ('r', 90), ('r-forcats', 90)",orca
"p7zip","{'15.09', '16.02'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('p7zip', 100), ('ip', 90), ('zip', 90), ('7zip', 89)",p7zip
"pandoc","{'1.19.2.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('pandoc', 100), ('c', 90), ('py-pandocfilters', 90), ('dock', 77)",pandoc
"parallel","{'20181122'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('parallel', 100), ('aws-parallelcluster', 90), ('intel-parallel-studio', 90), ('parallel-netcdf', 90)",parallel
"paraview","{'5.10.1', '5.3.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('paraview', 100), ('r', 90), ('paraver', 80), ('ravel', 72)",paraview
"parmed","{'3.2.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('ed', 90), ('med', 90), ('py-parmed', 90), ('r', 90)",NONE
"petsc","{'3.12.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('petsc', 100), ('c', 90), ('py-petsc4py', 90), ('petaca', 73)",petsc
"phon","{'1.43', '1.39'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('py-phonenumbers', 90), ('py-phonopy', 90), ('typhon', 90), ('typhonio', 90)",NONE
"picard-tools","{'1.136', '2.18.9'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('picard', 90), ('or-tools', 86), ('acpica-tools', 83), ('r-gtools', 79)",NONE
"platypus","{'3e72641'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('platypus', 100), ('atop', 68), ('blat', 68), ('last', 68)",platypus
"plink","{'1.07', '2.0alpha', '1.90b3.40'}","{'git'}",NONE,NONE,NONE,NONE,"{'2.0alpha-git'}","applications","('plink', 100), ('plink-ng', 90), ('flink', 80), ('abi-compliance-checker', 72)",plink
"plumed","{'2.5.2', '2.4.3', '2.2', '2.3.1', '2.4.1', '2.1.2', '2.2.3', '2.6.0', '2.7.2'}",NONE,NONE,NONE,NONE,"{'intel-2017-update4', 'intel-2018', 'gnu-10.2.0', 'intel-2017-update1', 'intel-2015-update2', 'gnu-4.9.2', 'intel-2020'}",NONE,"applications","('plumed', 100), ('ed', 90), ('med', 90), ('flume', 73)",plumed
"poppler","{'22.10.0'}",NONE,NONE,NONE,NONE,"{'gnu-9.2.0'}",NONE,"applications","('poppler', 100), ('er', 90), ('poppler-data', 90), ('ppl', 90)",poppler
"postgres+postgis","{'9.5.3+2.2.2'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('postgis', 90), ('postgresql', 76), ('stress', 75), ('isl', 72)",NONE
"postgresql","{'9.5.3'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('postgresql', 100), ('r-rpostgresql', 87), ('r-rpostgres', 76), ('stress', 75)",postgresql
"primer3","{'2.3.6'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('primer3', 100), ('er', 90), ('r', 90), ('r3d', 72)",primer3
"probabel","{'0.4.5'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('r', 90), ('py-tensorflow-probability', 79), ('py-babel', 75), ('bazel', 72)",NONE
"proj.4","{'6.0.0', '4.9.1', '6.1.0', '5.2.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('proj', 90), ('r', 90), ('r-proj', 79), ('r-proj4', 77)",NONE
"proovread","{'2.13.11-8Jan2016-f6a856a'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('adf', 72), ('readfq', 72), ('proj', 68), ('root', 68)",NONE
"pymol","{'1.7.7.2', '1.8.2.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('py-pymol', 90), ('pygmo', 80), ('sympol', 73), ('octave-symbolic', 72)",NONE
"pyrosetta","{'release-73'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('rose', 90), ('py-py', 86), ('py-oset', 75), ('stata', 72)",NONE
"pytorch","{'1.11.0', '1.2.0'}",NONE,"{'cpu', 'gpu'}",NONE,NONE,NONE,NONE,"applications","('py-torch', 93), ('c', 90), ('orc', 90), ('py-efficientnet-pytorch', 90)",NONE
"qctool","{'beta', 'ba5eaa44a62f', '2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('cool', 80), ('cctools', 77), ('fermisciencetools', 75)",NONE
"quantum-espresso","{'6.1', '6.5', '7.0', '6.3', '5.2.0', '6.4.1'}",NONE,NONE,"{'thermo_pw-1.0.9', 'thermo_pw-1.2.1', 'impi'}",NONE,"{'intel-2015-update2', 'intel2017', 'intel-2018'}","{'6.4.1-impi', '5.2.0-impi', '6.1-impi', '6.5-impi', '7.0-impi', '6.3-impi'}","applications","('quantum-espresso', 100), ('ant', 90), ('sp', 90), ('py-espresso', 80)",quantum-espresso
"r","{'3.2.0', '3.2.2', '3.3.0', '3.3.2', '3.4.0', 'r-3.5.1_bc-3.7', '3.6.0', '3.4.2', 'new', '3.5.3', 'r-3.6.0_bc-3.9', '3.5.1', '3.5.0', '4.2.0', 'old'}",NONE,NONE,"{'openblas', 'atlas'}","{'recommended'}","{'gnu-4.9.2', 'gnu-10.2.0'}","{'3.2.2-openblas', '3.4.0-openblas', '3.3.2-openblas', '3.5.0-openblas', '3.3.0-openblas', '3.5.1-openblas', '3.6.0-openblas', '3.5.3-openblas', '3.2.0-atlas', '3.4.2-openblas', '4.2.0-openblas'}","bundles","('r', 100), ('3proxy', 90), ('agrep', 90), ('albert', 90)",r
"randfold","{'2.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('randfold', 100), ('r', 90), ('ldc', 72), ('andi', 68)",randfold
"rclone","{'1.51.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('rclone', 100), ('c', 90), ('r', 90), ('perl-clone', 75)",rclone
"repast-hpc","{'2.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('hpcc', 77), ('hpcg', 77), ('pasta', 76), ('expat', 72)",NONE
"root","{'6.04.00', '5.34.36', '5.34.30'}",NONE,NONE,"{'gsl-2.4', 'fftw-3.3.6'}",NONE,"{'gnu-4.9.2'}","{'gnu-4.9.2-fftw-3.3.6', 'gnu-4.9.2-fftw-3.3.6-gsl-2.4'}","applications","('root', 100), ('fakechroot', 90), ('hadoop-xrootd', 90), ('py-cheroot', 90)",root
"rosetta","{'2018.48.60516', '2015.31.58019'}","{'mpi'}",NONE,NONE,NONE,NONE,"{'2015.31.58019-mpi', '2018.48.60516-mpi'}","applications","('r', 90), ('rose', 90), ('tar', 72), ('tau', 72)",NONE
"rsem","{'1.2.31'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('rsem', 100), ('r', 90), ('r-sparsem', 90), ('r-sparsematrixstats', 90)",rsem
"rvtests","{'2.1.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('r', 90), ('vt', 90), ('rt-tests', 80), ('vvtest', 77)",NONE
"sac","{'101.6a', '102.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('casacore', 90), ('py-sacremoses', 90), ('r-alsace', 90)",NONE
"salmon","{'1.9.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('salmon', 100), ('salmon-tddft', 90), ('mono', 77), ('lemon', 73)",salmon
"sambamba","{'0.6.7'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'0.6.7-bindist'}","applications","('sambamba', 100), ('hama', 68), ('magma', 62), ('amg', 60)",sambamba
"samblaster","{'0.1.24'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('samblaster', 100), ('er', 90), ('last', 90), ('astra', 72)",samblaster
"samsrf","{'5.84'}",NONE,NONE,"{'matlab.r2019b'}",NONE,NONE,NONE,"applications","('r', 90), ('adms', 68), ('gams', 68), ('saws', 68)",NONE
"samtools","{'1.11', '1.2', '1.3.1', '1.9', '0.1.19'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('samtools', 100), ('bamtools', 88), ('r-rsamtools', 84), ('osmctools', 82)",samtools
"sas","{'64', '9.4', '9.4-M6', '9.4-m7'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('cyrus-sasl', 90), ('py-pure-sasl', 90), ('r-sass', 90), ('saws', 86)",NONE
"sc","{'7.16'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('amdscalapack', 90), ('ascent', 90), ('asciidoc', 90), ('asciidoc-py3', 90)",NONE
"siesta","{'4.0.1'}",NONE,NONE,NONE,NONE,"{'intel-2017'}",NONE,"applications","('siesta', 100), ('star', 77), ('stat', 77), ('py-msrestazure', 75)",siesta
"skewer","{'0.2.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('er', 90), ('r', 90), ('pacbio-damasker', 72), ('r-whisker', 72)",NONE
"smalt","{'0.7.6'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('smalt', 100), ('fastmath', 72), ('libatasmart', 72), ('ltp', 72)",smalt
"snpAD","{'0.3.4'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'0.3.4-bindist'}","applications","('spades', 73), ('adf', 72), ('py-jsonpatch', 72), ('py-jsonpath-ng', 72)",NONE
"snptest","{'2.5.4-beta3'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('snptest', 100), ('nest', 73), ('py-crashtest', 69), ('ruby-zentest', 69)",snptest
"sod","{'3.2.7', '3.2.10'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('libsodium', 90), ('py-isodate', 90), ('r-gsodr', 90), ('angsd', 72)",NONE
"spaceranger","{'1.2.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('ace', 90), ('er', 90), ('sp', 90), ('erlang', 75)",NONE
"spm","{'r6470', '8', '12', 'jan2020', 'r6313'}",NONE,NONE,"{'matlab.r2015a', 'matlab.r2019b'}",NONE,NONE,NONE,"applications","('spm', 100), ('sp', 90), ('libsm', 72), ('miniasm', 72)",spm
"spss","{'25', '26'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('sp', 90), ('sshpass', 73), ('hdf5-vol-external-passthrough', 68), ('keepassxc', 68)",NONE
"sqlite","{'3.31.1'}",NONE,NONE,NONE,NONE,"{'gnu-9.2.0'}",NONE,"applications","('sqlite', 100), ('perl-dbd-sqlite', 90), ('py-aiosqlite', 90), ('py-pysqlite', 90)",sqlite
"stacks","{'2.54'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('stacks', 100), ('ack', 90), ('c', 90), ('ck', 90)",stacks
"star","{'2.5.2a', '2.7.3a'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('star', 100), ('perl-star-fusion', 90), ('r', 90), ('r-stargazer', 90)",star
"star-ccm+","{'14.06.013', '12.04.010', '13.02.011', '11.04.010-R8', '13.06.012', '9.06.011'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('r', 90), ('star', 90), ('star-ccm-plus', 90)",NONE
"star-cd","{'4.26.022', '4.22.058', '4.28.050', '4.26.011'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('r', 90), ('star', 90), ('tar', 90)",NONE
"stata","{'14', '15'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('stata', 100), ('stat', 89), ('perl-math-vecstat', 80), ('py-gpustat', 80)",stata
"supermagic","{'1.2'}",NONE,NONE,NONE,NONE,"{'intel-2017'}",NONE,"applications","('er', 90), ('magics', 82), ('superchic', 74), ('ico', 72)",NONE
"taup","{'2.1.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('tau', 86), ('py-ez-setup', 77), ('r-metap', 77), ('systemtap', 77)",NONE
"tensorflow","{'2.8.0', '1.8.0', '1.14.0', '1.4.1', '2.0.0', '1.12.0', '1.13.1'}",NONE,"{'cpu', 'gpu'}","{'python-3.8.6', 'mkl', 'py37'}",NONE,"{'cudnn75'}","{'gpu-py37', 'gpu-py37-cudnn75', 'mkl-py37'}","applications","('py-tensorflow', 95), ('fl', 90), ('py-tensorflow-datasets', 90), ('py-tensorflow-estimator', 90)",NONE
"tephra2","{'2.0', 'r149'}","{'normal'}",NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('r', 90), ('tophat', 62), ('apr', 60), ('feh', 60)",NONE
"tesseract","{'3.05.01'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('tesseract', 100), ('er', 90), ('py-pytesseract', 90), ('acct', 77)",tesseract
"texinfo","{'5.2', '6.6'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('texinfo', 100), ('trexio', 77), ('xvinfo', 77), ('fox', 72)",texinfo
"texlive","{'2015', '2014', '2019'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('texlive', 100), ('elsi', 68), ('hive', 68), ('tfel', 68)",texlive
"textract","{'1.5.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('r', 90), ('r-exactextractr', 90), ('pacbio-dextractor', 79)",NONE
"tmux","{'2.2', '3.2a'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('tmux', 100), ('ruby-tmuxinator', 90), ('libusbmuxd', 68), ('notmuch', 68)",tmux
"tophat","{'2.1.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('tophat', 100), ('phast', 73), ('ant', 72), ('atf', 72)",tophat
"tracer","{'1.6'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('tracer', 100), ('ace', 90), ('beast-tracer', 90), ('c', 90)",tracer
